category,sec,week,latitude,longitude,lux,accelx,accely,accelz,gyroX,gyroY,gyroZ,decibel,peak,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag0,bssidcnt,rssisum,idx1,idx2,idx3,idx4,idx5,idx6,idx7,idx8,idx9,idx0,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi0,inclass
exercise,59566,7,35.57185366,129.18688739,304.0,-10.761338,-3.5434184,2.019509,-1.7891103,0.48948863,-2.7217486,56.23211337596865,2565.0,46654.18494630429,86931.33882351193,24301.39618998376,6763.976241314081,5835.267342937702,3630.828884608105,2880.5720161756194,2161.0087869421923,1565.4562368158724,1924.2296921550687,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59571,7,35.5716981,129.1868657,931.0,1.435324,7.4226236,4.3526587,0.32610384,0.59934396,1.3279843,54.360328144962594,1549.0,129620.33926737832,114843.60286050336,25600.95563008595,11493.823981866317,6576.029557841968,5153.642636697722,3702.762313884074,2773.9827899073694,2392.898852700594,2596.1264267875163,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59576,7,35.5716981,129.1868657,2608.0,-16.28536,8.253412,-1.7166426,1.4088112,0.28895277,2.0875173,58.616194656889874,1804.0,55990.08817298764,62703.07557990679,19945.571717565166,9723.790890004157,5024.960246416206,2798.1944807524337,3628.9192421507737,2251.9708078831795,1636.8947823968042,2093.743943236744,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59581,7,35.57147534,129.18687094,356.0,-11.195287,2.4863784,-0.83856916,-0.7153245,1.6347802,-3.1563761,57.21653513612476,3936.0,96676.87851046777,78116.40059508113,27011.009992029238,39427.487068840055,33408.74990003833,39606.64005956772,41329.57398452187,31233.027120356302,10850.802396348805,10567.521444615108,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59586,7,35.57133543,129.18692272,2316.0,1.5999253,3.304597,6.8103065,0.1548627,0.75327456,0.38482648,57.83243817627281,2230.0,79080.53633977656,103686.39748751454,32256.962987900464,15933.239544419012,12722.839800332831,10541.484099379311,8831.401427393974,9101.246113915216,7501.440064078669,3632.316175649838,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59591,7,35.57122541,129.18700429,960.0,4.9135003,12.269087,8.814852,-0.92025465,-3.3992562,1.0976211,50.67555293576123,1027.0,58402.29248678045,35126.72146016444,40610.50873238695,8953.669387713458,6721.660597162748,3463.1885631253635,4248.654895921924,2610.5384532560474,2625.8047716069973,2758.641893624311,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59596,7,35.5711279,129.18707277,344.0,-0.94810385,13.351266,6.1046157,-1.5329144,0.023968432,-2.2788653,64.76748745937711,5148.0,385700.52224164736,43064.343374459946,26564.96901478023,9859.569394486363,7868.703745247549,11716.963237413673,4657.814801166201,4698.377242367864,4384.577691582177,6653.452516833072,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59601,7,35.57104654,129.18717401,1708.0,-5.559336,2.7766755,-0.1921347,-0.11704584,1.0346373,-1.177782,70.3561358431007,9106.0,258288.8186643964,222360.55012021703,62126.9909618979,16613.38230646436,12213.68696092972,8556.396072113655,5402.123642900888,4182.48697622061,2919.739843463228,2643.921251752287,44,-531,17,15,9,16,11,12,10,13,14,18,-52,-52,-52,-52,-52,-52,-52,-53,-55,-59,0
exercise,59606,7,35.57099641,129.18733715,1434.0,-8.996812,10.490793,8.9998045,0.44607913,1.7897761,0.7728488,70.54414772821573,10540.0,442453.2687252064,226317.3574808299,91579.249488954,51399.562772197365,33293.510257384674,28237.764956739968,17693.71083527996,13389.75358585998,10062.969566434453,8428.415693740675,30,-794,19,20,21,22,23,24,25,26,27,28,-76,-78,-78,-78,-78,-78,-82,-82,-82,-82,0
exercise,59611,7,35.57097433,129.18750234,1056.0,1.1408371,4.1772833,5.8681884,0.44714442,2.6367939,-0.63050294,77.10124113017807,17677.0,94728.91347845992,37912.15913929224,28842.546070009248,9770.096884147672,7308.652745645196,8960.967491239971,4071.68664327085,3423.0490931433296,1749.985864286256,2439.649487288857,30,-794,19,20,21,22,23,24,25,26,27,28,-76,-78,-78,-78,-78,-78,-82,-82,-82,-82,0
